YEAR,MONTH,EXPIRATION,ROLL
2014,3,3/21,3/17
2014,6,6/20,6/16
2014,9,9/19,9/15
2014,12,12/19,12/15
2015,3,3/20,3/16
2015,6,6/19,6/15
2015,9,9/18,9/14
2015,12,12/18,12/14
2016,3,3/18,3/14
2016,6,6/17,6/13
2016,9,9/16,9/12
2016,12,12/16,12/12
2017,3,3/17,3/13
2017,6,6/16,6/12
2017,9,9/15,9/11
2017,12,12/15,12/11
2018,3,3/16,3/12
2018,6,6/15,6/11
2018,9,9/21,9/17
2018,12,12/21,12/17
2019,3,3/15,3/11
2019,6,6/21,6/17
2019,9,9/20,9/16
2019,12,12/20,12/16
2020,3,3/20,3/16
2020,6,6/19,6/15
2020,9,9/18,9/14
2020,12,12/18,12/14
2021,3,3/19,3/15
2021,6,6/18,6/14
2021,9,9/17,9/13
2021,12,12/17,12/13
2022,3,3/18,3/14
2022,6,6/17,6/13
2022,9,9/16,9/12
2022,12,12/16,12/12
2023,3,3/17,3/13
2023,6,6/16,6/12
2023,9,9/15,9/11
2023,12,12/15,12/11
2024,3,3/15,3/11
2024,6,6/21,6/17
2024,9,9/20,9/16
2024,12,12/20,12/16
